City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Albany,42.6001,-73.9662,55.0,73,100,1.01,US,1619796182
Yellowknife,62.456,-114.3525,27.0,93,90,14.97,CA,1619795602
Rikitea,-23.1203,-134.9692,78.46,75,58,18.63,PF,1619796385
Gombong,-7.6072,109.5142,55.0,100,73,2.98,ID,1619796385
Arraial do Cabo,-22.9661,-42.0278,77.0,69,40,9.22,BR,1619796386
Ancud,-41.8697,-73.8203,55.99,100,90,12.66,CL,1619795941
Ushuaia,-54.8,-68.3,41.0,87,40,2.06,AR,1619796182
Mahébourg,-20.4081,57.7,78.8,78,75,13.8,MU,1619795784
Punta Arenas,-53.15,-70.9167,41.0,93,75,9.22,CL,1619796387
Manokwari,-0.8667,134.0833,78.67,81,100,5.44,ID,1619796334
Mount Isa,-20.7333,139.5,66.2,39,0,5.75,AU,1619796175
Cayenne,4.9333,-52.3333,82.4,83,75,4.61,GF,1619795809
Busselton,-33.65,115.3333,51.01,96,89,4.07,AU,1619796281
Adrar,20.5022,-10.0711,90.61,23,93,4.74,MR,1619796005
Warrington,53.3925,-2.5802,55.0,66,90,4.61,GB,1619796395
Cape Town,-33.9258,18.4232,64.4,52,0,19.57,ZA,1619796234
Khomutovo,52.4658,104.4025,39.2,60,0,6.71,RU,1619796396
Codrington,-38.2667,141.9667,57.72,48,68,9.48,AU,1619796036
Jamestown,42.097,-79.2353,45.0,75,75,21.85,US,1619796119
Chudovo,59.1167,31.6833,44.51,71,100,4.81,RU,1619796403
Kremenki,54.885,37.1261,62.6,48,0,13.42,RU,1619796404
Kapaa,22.0752,-159.319,71.6,83,90,13.8,US,1619796107
Barrow,71.2906,-156.7887,19.4,86,90,4.61,US,1619796404
Hilo,19.7297,-155.09,71.6,83,90,5.75,US,1619796405
Castro,-24.7911,-50.0119,65.97,56,24,11.88,BR,1619795917
Leningradskiy,69.3833,178.4167,12.42,94,87,14.14,RU,1619795952
Hithadhoo,-0.6,73.0833,84.04,73,19,8.01,MV,1619795820
Kiunga,-6.1219,141.2906,72.82,97,100,1.81,PG,1619796190
Bluff,-46.6,168.3333,41.0,93,40,3.0,NZ,1619796406
Vanavara,60.34,102.2797,35.01,86,100,6.6,RU,1619796406
Vaini,-21.2,-175.2,75.2,94,90,8.05,TO,1619795816
Coahuayana Viejo,18.7333,-103.6833,64.4,82,90,2.44,MX,1619796407
Meulaboh,4.1363,96.1285,79.43,84,97,4.43,ID,1619796003
Hobart,-42.8794,147.3294,52.0,87,1,8.05,AU,1619796119
Tasiilaq,65.6145,-37.6368,33.8,64,20,11.5,GL,1619796408
Kavaratti,10.5669,72.642,85.14,73,22,10.29,IN,1619796196
Bambous Virieux,-20.3428,57.7575,78.8,78,75,13.8,MU,1619795850
Atuona,-9.8,-139.0333,78.48,71,21,4.43,PF,1619796408
Upernavik,72.7868,-56.1549,34.03,73,90,5.19,GL,1619796132
Villa Carlos Paz,-31.4241,-64.4978,73.0,46,0,16.11,AR,1619796399
Buala,-8.145,159.5921,79.45,81,91,4.05,SB,1619796099
Laas,46.6166,10.7002,71.6,71,40,9.22,IT,1619796071
Cidreira,-30.1811,-50.2056,71.51,63,0,12.5,BR,1619795943
Matara,5.9485,80.5353,78.75,88,34,5.23,LK,1619795993
Leer,8.3018,30.1418,85.71,47,96,4.92,SS,1619796410
Kampene,-3.6,26.6667,70.74,98,100,2.55,CD,1619795828
Yaan,7.3833,8.5667,99.03,31,100,4.12,NG,1619796414
Puerto Ayora,-0.7393,-90.3518,78.8,78,75,11.5,EC,1619796414
Ishigaki,24.3448,124.1572,74.68,87,93,11.65,JP,1619796414
Constitución,-35.3333,-72.4167,58.21,80,100,9.55,CL,1619796027
Faanui,-16.4833,-151.75,78.82,80,95,6.89,PF,1619795840
Namatanai,-3.6667,152.4333,78.84,80,43,4.63,PG,1619795868
Garmsār,35.2182,52.3409,83.3,14,0,4.65,IR,1619796419
Klaksvík,62.2266,-6.589,39.2,60,75,11.5,FO,1619796071
Mandalgovi,45.7625,106.2708,40.1,52,56,5.82,MN,1619796043
Davila,18.4726,120.5763,77.0,88,40,1.14,PH,1619796423
Turaif,31.6725,38.6637,91.4,18,20,4.61,SA,1619796424
Córdoba,-31.4135,-64.1811,73.0,46,0,16.11,AR,1619796140
Gemena,3.25,19.7667,90.97,40,85,2.04,CD,1619796425
Husavik,66.0449,-17.3389,35.6,87,75,12.66,IS,1619796191
Três Passos,-27.4556,-53.9319,73.99,55,0,1.99,BR,1619796425
Bethel,41.3712,-73.414,60.8,48,90,16.11,US,1619795854
Saint-Philippe,-21.3585,55.7679,78.8,78,0,3.44,RE,1619795841
Longyearbyen,78.2186,15.6401,23.0,58,75,5.75,SJ,1619796426
Aranda de Duero,41.6704,-3.6892,52.83,66,100,10.94,ES,1619796426
Sibolga,1.7427,98.7792,78.12,87,100,3.09,ID,1619795879
Sorong,-0.8833,131.25,79.39,82,95,2.13,ID,1619796427
Saskylakh,71.9167,114.0833,33.1,87,100,9.51,RU,1619795930
Butaritari,3.0707,172.7902,82.71,74,97,9.82,KI,1619796428
Kahului,20.8947,-156.47,71.6,100,90,14.97,US,1619795915
Port Blair,11.6667,92.75,82.69,71,100,1.59,IN,1619795934
Qaanaaq,77.484,-69.3632,31.62,62,61,6.93,GL,1619796429
Jalingo,8.8833,11.3667,101.79,26,100,2.73,NG,1619796320
Tezu,27.9167,96.1667,81.64,33,64,4.61,IN,1619795887
Nsanje,-16.92,35.262,87.28,50,67,4.65,MW,1619796430
Moctezuma,29.8,-109.6667,66.79,38,0,11.54,MX,1619796431
Fort Nelson,58.8053,-122.7002,39.2,93,75,4.61,CA,1619796434
Nikolskoye,59.7035,30.7861,48.2,37,0,13.42,RU,1619796435
Portland,45.5234,-122.6762,55.99,71,75,6.91,US,1619795989
Kaitangata,-46.2817,169.8464,46.0,72,42,4.0,NZ,1619795890
Yar-Sale,66.8333,70.8333,28.06,95,85,9.78,RU,1619796056
San Patricio,28.017,-97.5169,73.0,94,90,8.05,US,1619796436
Nanortalik,60.1432,-45.2371,41.38,65,6,7.74,GL,1619796436
Bredasdorp,-34.5322,20.0403,64.4,42,52,9.22,ZA,1619796437
Salinópolis,-0.6136,-47.3561,80.13,82,99,8.28,BR,1619796437
Yulara,-25.2406,130.9889,60.8,29,69,4.61,AU,1619795975
New Haven,41.4001,-72.9329,63.0,45,90,19.57,US,1619796157
St. George's,12.0564,-61.7485,82.4,74,75,18.41,GD,1619796444
Komsomol'skoye,55.2567,47.5461,55.11,52,97,14.29,RU,1619796445
Rincon,32.296,-81.2354,82.4,57,40,12.66,US,1619796445
Avera,33.194,-82.5271,77.0,57,1,11.5,US,1619796449
Oddur,4.1213,43.8894,81.05,63,83,3.15,SO,1619796316
Seoul,37.5683,126.9778,51.8,87,0,5.75,KR,1619795779
Hermanus,-34.4187,19.2345,64.99,53,4,9.17,ZA,1619796449
São Félix do Xingu,-6.6447,-51.995,87.01,57,100,2.06,BR,1619796450
Gizo Government Station,-8.103,156.8419,81.5,74,50,4.63,SB,1619795947
Monterey,36.2505,-121.2516,53.6,82,20,5.75,US,1619796450
Banda Aceh,5.5577,95.3222,81.16,77,100,2.46,ID,1619796454
Fúquene,5.4043,-73.7964,49.93,95,100,0.4,CO,1619796454
Tuktoyaktuk,69.4541,-133.0374,12.2,79,20,9.22,CA,1619796455
Omboué,-1.5746,9.2618,84.96,68,100,5.95,GA,1619796455
Jalu,29.0331,21.5482,104.04,6,0,10.63,LY,1619796455
Quatre Cocos,-20.2078,57.7625,78.8,78,75,13.8,MU,1619796456
Samarai,-10.6167,150.6667,79.3,80,59,8.01,PG,1619796056
Dikson,73.5069,80.5464,11.1,94,86,9.6,RU,1619796456
Kirakira,-10.4544,161.9205,78.75,86,100,7.49,SB,1619796094
Nagato,34.3833,131.2,62.6,62,75,5.75,JP,1619796102
Andenes,69.3143,16.1194,32.0,74,40,20.71,NO,1619796457
Bengkulu,-3.8004,102.2655,77.74,87,100,5.3,ID,1619796458
Rome,43.2128,-75.4557,46.99,87,90,19.57,US,1619795757
New Norfolk,-42.7826,147.0587,52.0,84,2,1.01,AU,1619796461
Bathsheba,13.2167,-59.5167,82.4,57,40,17.27,BB,1619796011
Sulangan,11.1373,123.7228,83.35,73,44,8.7,PH,1619796471
Mataura,-46.1927,168.8643,41.0,93,74,3.0,NZ,1619796472
Buin,-33.7333,-70.75,64.0,82,90,4.7,CL,1619796472
Okhotsk,59.3833,143.3,32.72,79,93,4.92,RU,1619796473
Pangnirtung,66.1451,-65.7125,32.0,93,90,8.05,CA,1619796473
Antofagasta,-23.65,-70.4,71.01,63,0,10.36,CL,1619796307
Kyra,49.5776,111.9753,32.09,55,19,6.17,RU,1619796474
Luena,-11.7833,19.9167,80.6,65,40,2.06,AO,1619796474
Caarapó,-22.6342,-54.8222,78.8,32,24,9.37,BR,1619796474
Novoagansk,61.9449,76.6625,33.8,96,100,14.52,RU,1619796475
Richards Bay,-28.783,32.0377,65.75,83,100,16.96,ZA,1619795790
Pochutla,15.7432,-96.4661,84.99,69,90,8.05,MX,1619796482
Genhe,50.7833,121.5167,32.36,98,97,3.98,CN,1619796482
Chokurdakh,70.6333,147.9167,-1.16,93,33,5.12,RU,1619795949
Ol'khovatka,50.2831,39.2872,55.65,76,87,11.25,RU,1619796484
Alyangula,-13.8483,136.4192,71.6,100,5,10.98,AU,1619796220
Carnarvon,-24.8667,113.6333,69.8,78,95,13.8,AU,1619796484
George Town,5.4112,100.3354,77.0,94,40,6.91,MY,1619796485
Road Town,18.4167,-64.6167,82.99,100,40,13.8,VG,1619795770
Sitka,57.0531,-135.33,44.6,81,90,12.66,US,1619796485
Olafsvik,64.8945,-23.7142,38.59,67,51,19.75,IS,1619795943
Flinders,-34.5833,150.8552,60.01,88,13,1.01,AU,1619795990
Lompoc,34.6391,-120.4579,51.8,100,90,4.9,US,1619795969
Clyde River,70.4692,-68.5914,21.2,100,90,3.44,CA,1619796017
Gimli,50.6336,-96.9907,35.6,69,98,10.36,CA,1619796487
Nome,64.5011,-165.4064,15.8,73,1,5.88,US,1619796487
Saint Paul Harbor,57.79,-152.4072,39.2,70,1,3.44,US,1619796289
Zhigalovo,54.8097,105.1578,33.98,85,100,3.4,RU,1619796488
Darnah,32.767,22.6367,85.48,32,7,5.26,LY,1619796488
Esperance,-33.8667,121.9,48.2,93,65,4.61,AU,1619796488
Petropavlovsk-Kamchatskiy,53.0452,158.6483,35.6,87,90,4.47,RU,1619796471
Macusani,-14.0833,-70.4333,45.91,50,22,3.36,PE,1619796489
Talnakh,69.4865,88.3972,21.52,86,27,3.27,RU,1619796489
Belyye Berega,53.2085,34.6641,64.4,45,40,20.13,RU,1619796493
Ponta do Sol,32.6667,-17.1,66.2,52,20,10.36,PT,1619796496
Avarua,-21.2078,-159.775,77.0,94,75,2.3,CK,1619796497
Grindavik,63.8424,-22.4338,42.8,65,0,18.41,IS,1619796497
Lagoa,39.05,-27.9833,57.61,60,10,4.7,PT,1619796498
Kokstad,-30.5472,29.4241,47.28,95,100,4.05,ZA,1619796501
Mujiayingzi,42.1167,118.7833,44.01,34,91,2.44,CN,1619796502
Saldanha,-33.0117,17.9442,66.2,45,0,17.27,ZA,1619796503
Kyren,51.6828,102.1408,42.91,80,97,1.61,RU,1619796507
Port Elizabeth,-33.918,25.5701,64.4,59,0,19.57,ZA,1619796381
Niamtougou,9.7681,1.1053,93.2,40,20,5.75,TG,1619796514
Cabedelo,-6.9811,-34.8339,77.0,100,75,13.8,BR,1619796514
Ribeira Grande,38.5167,-28.7,62.6,63,75,8.05,PT,1619796514
Provideniya,64.3833,-173.3,26.17,75,98,2.24,RU,1619796515
Khatanga,71.9667,102.5,31.39,93,100,8.37,RU,1619796292
Weiser,44.251,-116.9693,64.0,55,1,1.36,US,1619796515
Matagami,49.7502,-77.6328,33.8,80,90,21.85,CA,1619795970
Aranos,-24.1333,19.1167,71.13,23,0,9.42,NA,1619796516
Nemuro,43.3236,145.575,38.01,80,46,24.38,JP,1619795731
Kamaishi,39.2667,141.8833,48.92,77,92,8.23,JP,1619796517
Rocha,-34.4833,-54.3333,68.13,54,0,8.28,UY,1619796429
Torbay,47.6666,-52.7314,50.0,57,75,12.66,CA,1619795996
Fukuechō,32.6881,128.8419,65.08,85,96,14.7,JP,1619796013
Campbell River,50.0163,-125.2446,51.01,100,90,2.3,CA,1619796518
Kashgar,39.4547,75.9797,78.8,12,0,5.26,CN,1619796518
Ahipara,-35.1667,173.1667,59.18,85,100,7.9,NZ,1619796014
Port Alfred,-33.5906,26.891,65.34,66,62,16.6,ZA,1619796519
Ambilobe,-13.2,49.05,77.99,85,55,2.77,MG,1619796519
Thompson,55.7435,-97.8558,35.6,48,40,4.61,CA,1619796519
Necochea,-38.5473,-58.7368,72.0,52,0,5.99,AR,1619796520
Huntington,38.4193,-82.4452,66.0,42,1,11.5,US,1619796520
Tabuk,17.4189,121.4443,76.08,88,85,2.28,PH,1619796521
Hofn,64.2539,-15.2082,39.2,70,90,20.71,IS,1619796521
Savannah Bight,16.45,-85.85,86.0,62,40,23.13,HN,1619796521
Fairmont,39.4851,-80.1426,60.01,53,99,5.99,US,1619796522
Christchurch,-43.5333,172.6333,51.01,87,90,5.75,NZ,1619795825
Strezhevoy,60.7333,77.5889,39.2,75,20,6.71,RU,1619796522
Mar del Plata,-38.0023,-57.5575,68.0,68,0,18.41,AR,1619796340
Piraju,-23.1936,-49.3839,75.58,43,97,13.4,BR,1619796261
Tūkrah,32.5341,20.5791,91.17,22,28,9.44,LY,1619796523
Kuandian,40.7286,124.7847,42.75,71,100,3.04,CN,1619796523
Guánica,17.9716,-66.908,87.01,59,3,8.99,PR,1619796524
Port Macquarie,-31.4333,152.9167,60.8,100,75,6.91,AU,1619796524
Shingū,33.7333,135.9833,54.64,70,0,6.53,JP,1619796525
Palmer,42.1584,-72.3287,57.0,62,75,19.57,US,1619795969
Port Lincoln,-34.7333,135.8667,66.9,38,100,7.94,AU,1619795995
Hobyo,5.3505,48.5268,85.3,64,86,12.33,SO,1619796525
Port Hardy,50.6996,-127.4199,48.2,100,75,4.61,CA,1619796526
Katsuura,35.1333,140.3,60.8,82,20,10.36,JP,1619796306
Moose Factory,51.2585,-80.6094,30.2,69,90,25.32,CA,1619796526
Tuam,53.5167,-8.85,53.01,60,98,7.0,IE,1619796527
Siyabuswa,-25.1132,29.0445,73.17,45,40,5.19,ZA,1619796527
Panama City,8.9936,-79.5197,87.01,70,40,4.61,PA,1619796377
Qaqortoq,60.7167,-46.0333,57.2,26,20,24.16,GL,1619796528
Makakilo City,21.3469,-158.0858,73.4,78,90,3.44,US,1619796528
Kaitong,44.8135,123.15,47.88,25,91,4.65,CN,1619796376
Korla,41.7597,86.1469,77.99,14,0,4.81,CN,1619796533
Norman Wells,65.282,-126.8329,32.0,59,40,5.75,CA,1619796533
Boa Vista,2.8197,-60.6733,80.6,78,75,3.44,BR,1619796309
Nivala,63.9167,24.9667,37.0,39,30,13.0,FI,1619796534
Denpasar,-8.65,115.2167,80.6,89,40,2.3,ID,1619796534
Rawson,-43.3002,-65.1023,69.53,26,77,11.05,AR,1619796438
Severo-Kuril'sk,50.6789,156.125,35.24,92,99,17.27,RU,1619796535
Garhiyasin,27.9069,68.511,93.2,36,42,4.61,PK,1619796536
São Bernardo,-3.3614,-42.4178,87.12,62,58,3.31,BR,1619796536
Khovd,48.0056,91.6419,64.63,24,100,12.84,MN,1619796370
Chu,43.5983,73.7614,62.8,81,100,9.22,KZ,1619796537
Udachny,66.4167,112.4,28.98,98,100,2.26,RU,1619796537
Pitimbu,-7.4706,-34.8086,77.0,100,75,13.8,BR,1619796537
Copiapó,-27.3667,-70.3333,64.4,52,0,4.16,CL,1619796538
Waipawa,-41.4122,175.5153,54.0,82,75,14.97,NZ,1619795984
Coyhaique,-45.5752,-72.0662,55.4,88,75,6.91,CL,1619796296
Aklavik,68.2191,-135.0107,19.4,86,100,5.75,CA,1619796539
Mabay,6.0577,124.4666,79.45,85,84,2.91,PH,1619796539
Moyale,3.5167,39.0584,74.19,69,91,6.8,KE,1619796540
Lao Cai,22.4833,103.95,74.34,94,22,1.81,VN,1619796540
Forsytheganj,52.6333,29.7333,56.37,87,100,6.93,BY,1619796467
Salina Cruz,16.1667,-95.2,85.57,62,94,7.16,MX,1619796540
Ekhabi,53.5102,142.9671,30.45,87,100,6.85,RU,1619796541
Port Hedland,-20.3167,118.5667,73.4,83,0,7.99,AU,1619796541
Fortuna,40.5982,-124.1573,53.01,100,1,6.91,US,1619796545
Hasaki,35.7333,140.8333,55.4,88,20,3.44,JP,1619796542
Caravelas,-17.7125,-39.2481,78.94,70,97,11.01,BR,1619796546
Tateyama,34.9833,139.8667,62.01,69,0,1.01,JP,1619796553
Kavieng,-2.5744,150.7967,81.68,75,77,4.34,PG,1619796553
Cockburn Town,21.4612,-71.1419,78.6,69,68,13.58,TC,1619796554
Najrān,17.4924,44.1277,84.2,32,75,11.5,SA,1619795949
Hurricane,37.1753,-113.2899,71.01,22,1,5.75,US,1619796272
Daru,-9.0763,143.2092,79.36,80,72,9.78,PG,1619796555
Quimperlé,47.8667,-3.55,57.2,41,0,9.22,FR,1619796555
Chui,-33.6971,-53.4616,69.12,50,1,7.81,UY,1619796556
Visnes,59.3556,5.2242,48.2,61,20,8.05,NO,1619796556
Pinar del Río,22.4175,-83.6981,87.76,48,0,8.86,CU,1619796556
Khorixas,-20.3667,14.9667,86.58,21,1,11.72,NA,1619796557
Oga,46.4631,10.347,62.01,81,75,11.5,IT,1619796557
Kampong Thom,12.7111,104.8887,82.0,76,95,7.31,KH,1619796558
Myaundzha,63.0494,147.1858,26.56,92,100,1.92,RU,1619796558
East London,-33.0153,27.9116,62.6,82,20,8.05,ZA,1619796558
Outlook,51.5001,-107.0513,55.99,38,99,9.22,CA,1619796559
Lorengau,-2.0226,147.2712,80.44,78,94,2.66,PG,1619796425
Kandrian,-6.2167,149.55,75.9,91,71,6.58,PG,1619796559
Touros,-5.1989,-35.4608,80.6,78,75,12.66,BR,1619796037
Cherskiy,68.75,161.3,-0.89,100,98,2.42,RU,1619796561
Los Llanos de Aridane,28.6585,-17.9182,69.8,52,40,24.16,ES,1619796561
Yankton,42.8711,-97.3973,59.0,41,1,12.66,US,1619796562
Pativilca,-10.7,-77.7833,69.64,75,6,9.51,PE,1619796562
Kattivākkam,13.2167,80.3167,87.01,74,20,6.91,IN,1619796055
Svetlaya,46.5389,138.3297,37.76,83,100,3.98,RU,1619796563
Vung Tau,10.346,107.0843,83.41,77,15,16.33,VN,1619796563
Tiarei,-17.5333,-149.3333,77.0,83,40,3.44,PF,1619796563
Ciudad del Carmen,18.6333,-91.8333,84.2,70,90,18.41,MX,1619796564
Talusan,7.4267,122.8103,82.26,75,100,5.48,PH,1619796564
Rumonge,-3.9736,29.4386,76.32,82,98,2.44,BI,1619796564
Lethem,3.3803,-59.7968,80.4,72,65,8.21,GY,1619796565
Morant Bay,17.8815,-76.4093,87.8,51,20,4.61,JM,1619796565
Hamilton,39.1834,-84.5333,64.99,48,1,6.91,US,1619796324
Beni,0.5,29.4667,66.36,99,99,1.5,CD,1619796566
